term,estimate,std_error,z,p_value
intercept,0.8457416908460141,0.6111021385413408,1.3839612685119087,0.16637031460808327
distance_spline_1,-2.1933562851572783,0.9328927612880852,-2.35113442420629,0.018716270962376675
distance_spline_2,-3.4209221911457375,0.658122324766793,-5.198003566218405,2.0144026509132767e-07
distance_spline_3,-1.9823745178704872,0.5891700298456045,-3.3646900172264025,0.0007662969838555199
distance_spline_4,-1.7638348752972652,0.5688795403745631,-3.1005419427387326,0.0019316685415726456
distance_spline_5,-0.8497798691779618,0.6060839428642602,-1.4020827959276265,0.1608905238559304
distance_spline_6,-1.853994647349322,0.6128838848035321,-3.025034094253668,0.002486051010211767
distance_spline_7,-1.6606347393663772,0.6058253693132704,-2.741111256613072,0.006123177007405783
distance_spline_8,-3.151702350343087,0.6053477986172779,-5.206432331202222,1.9250584877627525e-07
distance_spline_9,0.5631146652490728,0.9675224870107421,0.582017134287878,0.5605551396751216
language_interaction_1,0.30016608865681293,0.32563627818753577,0.9217833170416768,0.3566416111486357
language_interaction_2,0.6067208086969044,0.13408249602688635,4.524981460482688,6.040080027919265e-06
language_interaction_3,0.741161375414873,0.059027403644062025,12.556225238774019,3.674488901681235e-36
language_interaction_4,0.8831922417250323,0.0863029409357629,10.233628566405528,1.4016696063519314e-24
language_interaction_5,1.1602113547344124,0.17197900269331734,6.746238416112732,1.517272294823957e-11
language_interaction_6,1.5743489885555848,0.1606493922125543,9.799906285811355,1.1269014804230533e-22
language_interaction_7,1.709807533502106,0.16780047868974052,10.18952715065553,2.2083569882247527e-24
language_interaction_8,2.1656784683432506,0.1526254821079171,14.189494692714298,1.0642280119342288e-45
language_interaction_9,1.2677925296267096,0.39248792849743314,3.230144005906671,0.0012372788136183117
