bin,different,total,language_id,speaker_id,group_id,n_observed_chips,n_missing_chips,n_valid_pairs,distance,language_K
0,66,233,1,1,1:1,330,0,54285,2.7938941263014994,7
1,153,442,1,1,1:1,330,0,54285,8.381682378904499,7
2,481,1110,1,1,1:1,330,0,54285,13.969470631507498,7
3,666,1401,1,1,1:1,330,0,54285,19.557258884110496,7
4,1028,1712,1,1,1:1,330,0,54285,25.145047136713494,7
5,1216,1864,1,1,1:1,330,0,54285,30.73283538931649,7
6,1774,2492,1,1,1:1,330,0,54285,36.3206236419195,7
7,2194,2902,1,1,1:1,330,0,54285,41.90841189452249,7
8,2384,3134,1,1,1:1,330,0,54285,47.49620014712549,7
9,3083,3768,1,1,1:1,330,0,54285,53.08398839972848,7
10,3408,4162,1,1,1:1,330,0,54285,58.67177665233149,7
11,4410,4991,1,1,1:1,330,0,54285,64.25956490493448,7
12,4647,5174,1,1,1:1,330,0,54285,69.84735315753748,7
13,4455,4955,1,1,1:1,330,0,54285,75.43514141014049,7
14,3251,3638,1,1,1:1,330,0,54285,81.02292966274348,7
15,2690,2971,1,1,1:1,330,0,54285,86.61071791534647,7
16,2127,2406,1,1,1:1,330,0,54285,92.19850616794949,7
17,1644,1885,1,1,1:1,330,0,54285,97.78629442055248,7
18,1328,1521,1,1,1:1,330,0,54285,103.37408267315547,7
19,966,1106,1,1,1:1,330,0,54285,108.96187092575848,7
20,836,933,1,1,1:1,330,0,54285,114.54965917836148,7
21,478,555,1,1,1:1,330,0,54285,120.13744743096447,7
22,353,395,1,1,1:1,330,0,54285,125.72523568356746,7
23,207,227,1,1,1:1,330,0,54285,131.31302393617045,7
24,129,148,1,1,1:1,330,0,54285,136.90081218877347,7
25,80,92,1,1,1:1,330,0,54285,142.48860044137646,7
26,34,36,1,1,1:1,330,0,54285,148.07638869397948,7
27,20,20,1,1,1:1,330,0,54285,153.66417694658247,7
28,8,8,1,1,1:1,330,0,54285,159.25196519918546,7
29,4,4,1,1,1:1,330,0,54285,164.83975345178845,7
0,87,233,1,2,1:2,330,0,54285,2.7938941263014994,7
1,180,442,1,2,1:2,330,0,54285,8.381682378904499,7
2,449,1110,1,2,1:2,330,0,54285,13.969470631507498,7
3,667,1401,1,2,1:2,330,0,54285,19.557258884110496,7
4,861,1712,1,2,1:2,330,0,54285,25.145047136713494,7
5,1005,1864,1,2,1:2,330,0,54285,30.73283538931649,7
6,1575,2492,1,2,1:2,330,0,54285,36.3206236419195,7
7,1971,2902,1,2,1:2,330,0,54285,41.90841189452249,7
8,2283,3134,1,2,1:2,330,0,54285,47.49620014712549,7
9,2944,3768,1,2,1:2,330,0,54285,53.08398839972848,7
10,3340,4162,1,2,1:2,330,0,54285,58.67177665233149,7
11,4284,4991,1,2,1:2,330,0,54285,64.25956490493448,7
12,4589,5174,1,2,1:2,330,0,54285,69.84735315753748,7
13,4452,4955,1,2,1:2,330,0,54285,75.43514141014049,7
14,3275,3638,1,2,1:2,330,0,54285,81.02292966274348,7
15,2663,2971,1,2,1:2,330,0,54285,86.61071791534647,7
16,2151,2406,1,2,1:2,330,0,54285,92.19850616794949,7
17,1671,1885,1,2,1:2,330,0,54285,97.78629442055248,7
18,1350,1521,1,2,1:2,330,0,54285,103.37408267315547,7
19,1001,1106,1,2,1:2,330,0,54285,108.96187092575848,7
20,847,933,1,2,1:2,330,0,54285,114.54965917836148,7
21,489,555,1,2,1:2,330,0,54285,120.13744743096447,7
22,359,395,1,2,1:2,330,0,54285,125.72523568356746,7
23,203,227,1,2,1:2,330,0,54285,131.31302393617045,7
24,127,148,1,2,1:2,330,0,54285,136.90081218877347,7
25,80,92,1,2,1:2,330,0,54285,142.48860044137646,7
26,29,36,1,2,1:2,330,0,54285,148.07638869397948,7
27,18,20,1,2,1:2,330,0,54285,153.66417694658247,7
28,8,8,1,2,1:2,330,0,54285,159.25196519918546,7
29,4,4,1,2,1:2,330,0,54285,164.83975345178845,7
0,97,233,1,3,1:3,330,0,54285,2.7938941263014994,7
1,197,442,1,3,1:3,330,0,54285,8.381682378904499,7
2,504,1110,1,3,1:3,330,0,54285,13.969470631507498,7
3,664,1401,1,3,1:3,330,0,54285,19.557258884110496,7
4,861,1712,1,3,1:3,330,0,54285,25.145047136713494,7
5,1021,1864,1,3,1:3,330,0,54285,30.73283538931649,7
6,1432,2492,1,3,1:3,330,0,54285,36.3206236419195,7
7,1763,2902,1,3,1:3,330,0,54285,41.90841189452249,7
8,1987,3134,1,3,1:3,330,0,54285,47.49620014712549,7
9,2540,3768,1,3,1:3,330,0,54285,53.08398839972848,7
10,2929,4162,1,3,1:3,330,0,54285,58.67177665233149,7
11,3929,4991,1,3,1:3,330,0,54285,64.25956490493448,7
12,4256,5174,1,3,1:3,330,0,54285,69.84735315753748,7
13,4188,4955,1,3,1:3,330,0,54285,75.43514141014049,7
14,3125,3638,1,3,1:3,330,0,54285,81.02292966274348,7
15,2527,2971,1,3,1:3,330,0,54285,86.61071791534647,7
16,2056,2406,1,3,1:3,330,0,54285,92.19850616794949,7
17,1636,1885,1,3,1:3,330,0,54285,97.78629442055248,7
18,1355,1521,1,3,1:3,330,0,54285,103.37408267315547,7
19,977,1106,1,3,1:3,330,0,54285,108.96187092575848,7
20,834,933,1,3,1:3,330,0,54285,114.54965917836148,7
21,489,555,1,3,1:3,330,0,54285,120.13744743096447,7
22,359,395,1,3,1:3,330,0,54285,125.72523568356746,7
23,206,227,1,3,1:3,330,0,54285,131.31302393617045,7
24,134,148,1,3,1:3,330,0,54285,136.90081218877347,7
25,89,92,1,3,1:3,330,0,54285,142.48860044137646,7
26,35,36,1,3,1:3,330,0,54285,148.07638869397948,7
27,20,20,1,3,1:3,330,0,54285,153.66417694658247,7
28,8,8,1,3,1:3,330,0,54285,159.25196519918546,7
29,4,4,1,3,1:3,330,0,54285,164.83975345178845,7
0,40,233,1,4,1:4,330,0,54285,2.7938941263014994,7
1,102,442,1,4,1:4,330,0,54285,8.381682378904499,7
2,342,1110,1,4,1:4,330,0,54285,13.969470631507498,7
3,499,1401,1,4,1:4,330,0,54285,19.557258884110496,7
4,818,1712,1,4,1:4,330,0,54285,25.145047136713494,7
5,976,1864,1,4,1:4,330,0,54285,30.73283538931649,7
6,1496,2492,1,4,1:4,330,0,54285,36.3206236419195,7
7,1933,2902,1,4,1:4,330,0,54285,41.90841189452249,7
8,2168,3134,1,4,1:4,330,0,54285,47.49620014712549,7
9,2853,3768,1,4,1:4,330,0,54285,53.08398839972848,7
10,3290,4162,1,4,1:4,330,0,54285,58.67177665233149,7
11,4278,4991,1,4,1:4,330,0,54285,64.25956490493448,7
12,4585,5174,1,4,1:4,330,0,54285,69.84735315753748,7
13,4467,4955,1,4,1:4,330,0,54285,75.43514141014049,7
14,3243,3638,1,4,1:4,330,0,54285,81.02292966274348,7
15,2621,2971,1,4,1:4,330,0,54285,86.61071791534647,7
16,2142,2406,1,4,1:4,330,0,54285,92.19850616794949,7
17,1656,1885,1,4,1:4,330,0,54285,97.78629442055248,7
18,1348,1521,1,4,1:4,330,0,54285,103.37408267315547,7
19,1006,1106,1,4,1:4,330,0,54285,108.96187092575848,7
20,821,933,1,4,1:4,330,0,54285,114.54965917836148,7
21,490,555,1,4,1:4,330,0,54285,120.13744743096447,7
22,363,395,1,4,1:4,330,0,54285,125.72523568356746,7
23,199,227,1,4,1:4,330,0,54285,131.31302393617045,7
24,122,148,1,4,1:4,330,0,54285,136.90081218877347,7
25,87,92,1,4,1:4,330,0,54285,142.48860044137646,7
26,35,36,1,4,1:4,330,0,54285,148.07638869397948,7
27,20,20,1,4,1:4,330,0,54285,153.66417694658247,7
28,8,8,1,4,1:4,330,0,54285,159.25196519918546,7
29,4,4,1,4,1:4,330,0,54285,164.83975345178845,7
0,50,233,1,5,1:5,330,0,54285,2.7938941263014994,7
1,140,442,1,5,1:5,330,0,54285,8.381682378904499,7
2,412,1110,1,5,1:5,330,0,54285,13.969470631507498,7
3,620,1401,1,5,1:5,330,0,54285,19.557258884110496,7
4,906,1712,1,5,1:5,330,0,54285,25.145047136713494,7
5,1034,1864,1,5,1:5,330,0,54285,30.73283538931649,7
6,1553,2492,1,5,1:5,330,0,54285,36.3206236419195,7
7,1921,2902,1,5,1:5,330,0,54285,41.90841189452249,7
8,2161,3134,1,5,1:5,330,0,54285,47.49620014712549,7
9,2851,3768,1,5,1:5,330,0,54285,53.08398839972848,7
10,3334,4162,1,5,1:5,330,0,54285,58.67177665233149,7
11,4232,4991,1,5,1:5,330,0,54285,64.25956490493448,7
12,4573,5174,1,5,1:5,330,0,54285,69.84735315753748,7
13,4467,4955,1,5,1:5,330,0,54285,75.43514141014049,7
14,3306,3638,1,5,1:5,330,0,54285,81.02292966274348,7
15,2682,2971,1,5,1:5,330,0,54285,86.61071791534647,7
