language_id,language_K,mean_rarefied_speaker_K,boot_K_lo,boot_K_hi,mean_effective_categories,boot_eff_lo,boot_eff_hi,mean_information_efficiency,boot_info_lo,boot_info_hi,mean_valid_chips,median_valid_chips,n_speakers,n_rarefaction_eligible
1,7.0,6.677734191172707,6.395678058294751,6.959894626472795,5.811701797168931,5.490347504178609,6.142480357707918,0.2863514720564959,0.2720261759094523,0.30003647472056233,330.0,330.0,25,25
2,6.0,9.118054960846031,7.935215977803946,10.317896667690917,7.248628791318697,6.407143458903926,8.096054579677356,0.3692121009999851,0.3393436438794796,0.39671491719400326,321.4583333333333,326.5,24,20
3,11.0,13.744436470979185,10.990705081686063,16.64930977175579,9.415303864556035,8.031913265660679,10.916630041124797,0.3876456042516904,0.3536811257665016,0.4217221022314034,307.52,324.0,25,16
4,10.0,9.349147109188655,8.747054268600941,9.977512689253377,7.190406607155434,6.76871735958008,7.618272644583086,0.37307162005497585,0.3559469800569484,0.389970890316526,329.42857142857144,330.0,35,35
5,7.0,7.33331423804763,6.9999999998773985,7.999942714265494,6.667906335961671,6.373575512802104,6.963823301238146,0.39906092716920144,0.36887974586579714,0.43141649317768604,330.0,330.0,6,6
6,10.0,9.963404962395549,8.85229809249298,11.319431097658843,7.574865962423951,6.9209298462275175,8.277324383902881,0.37343078647749295,0.35436916688669146,0.3926056991975783,326.7037037037037,330.0,27,25
7,15.0,13.925661519313502,13.324064424827684,14.56782103323567,10.298131611715744,9.769542268594774,10.829558316890907,0.488633151773511,0.4755620198693113,0.5001639480216662,330.0,330.0,25,25
8,7.0,7.204864582458818,6.727920985348551,7.920129992902032,6.182725085286324,5.888064485922104,6.491125484128732,0.3409422374166505,0.3233562856620252,0.3582881264819077,329.96,330.0,25,25
9,7.0,6.703510630815466,6.42287975192484,6.959409042774806,5.371076435998736,5.20134752020389,5.539612272138808,0.31095237715861046,0.2946200589845116,0.32630689482076153,327.03333333333336,330.0,30,28
10,6.0,7.999999956743096,7.999999956743096,7.999999956743096,5.3721000988296,4.9658235013661285,5.801435516806931,0.2736521080126959,0.25648598834662656,0.29218843367694286,327.68,330.0,25,24
11,7.0,7.073708608027524,6.753804194278153,7.433510498311873,6.312469551706313,5.977646259800346,6.649013650946651,0.3543824318365405,0.32871940222505064,0.37825592319933354,329.96,330.0,25,25
12,5.0,4.9579344108403385,4.833812883230026,5.079995016900936,4.48484918355707,4.2892106760393345,4.645907502287091,0.32035731210647783,0.3038084843900508,0.3358428499076701,330.0,330.0,25,25
13,7.0,8.188449037943581,7.405390211755801,9.085132151644842,6.287944070168595,5.788083052989333,6.830898158931697,0.3414840458091921,0.3121081708041085,0.3693192368232046,329.8,330.0,25,25
14,4.0,4.461344775465676,3.5979388004095405,5.634344909098281,3.6421326789771,3.2453624306347324,4.110278578982261,0.2306315339358754,0.21241586015416183,0.2499623435743515,329.96,330.0,25,25
15,9.0,8.073008991832554,7.630966380055187,8.510667226872046,5.956510393942584,5.620497375704479,6.29175581764298,0.34222237909236697,0.32266185395645586,0.3617665519093756,329.96,330.0,25,25
16,6.0,6.593508356515141,6.313617627055889,6.871783982781577,5.605836979932999,5.432342679939636,5.784011907238188,0.32290543863704185,0.29966857760894483,0.34595132506915505,330.0,330.0,25,25
