language_id,language_K
1,7
2,6
3,11
4,10
5,7
6,10
7,15
8,7
9,7
10,6
11,7
12,5
13,7
14,4
15,9
16,6
17,17
18,8
19,13
20,8
21,7
22,7
23,4
24,12
25,7
26,7
27,17
28,9
29,7
30,6
31,5
32,5
33,7
34,11
35,9
36,3
37,7
38,10
39,9
40,7
41,6
42,8
43,8
44,8
45,10
46,12
47,6
48,7
49,7
50,6
51,8
52,9
53,6
54,7
55,9
56,5
57,11
58,6
59,10
60,4
61,6
62,8
63,8
64,7
65,8
66,4
67,17
68,11
69,8
70,9
71,10
72,11
73,6
74,4
75,8
76,8
77,4
78,9
79,7
80,10
81,6
82,6
83,9
84,12
85,7
86,13
87,7
88,8
89,6
90,7
91,14
92,11
93,7
94,7
95,8
96,7
97,7
98,9
99,5
100,6
101,8
102,5
103,8
104,3
105,3
106,12
107,5
108,6
109,7
110,8
